review_id,AR,AT,CS,GS,HH,LV,MH,NQ,OA,PE,RC,RE,RP,SR,VP,satisfaction_score
1,0,0,0,0,0,0,0,2.424681544,0,0,0,0,0,0,0.962227643,0.724
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528348804,0.71
3,0,0,0,0,0,0,0,0.944160759,0,0,0,0,0,0,-0.312880725,0.41
4,0,0,0,0,0,0,0,0,0,0,0.910219967,0,0,0,1.689978912,0.582
5,0,0,0,0,0,0,0,-0.817978144,0,0,0,0,0,0,0.133832991,0.516666667
6,0,0,0,0,0,0,0,2.180764139,0,0,0,0,0,0,0,0.523333333
7,0,0,0,0,0,0,0,1.904670537,0,0,0,0,0,0,0,0.72
8,0,0,0,0,0,0,0,0.565098464,0,0,0,0,0,0,0.47266987,0.236666667
9,0,0,0,0,0,0,0,2.888235688,0,0,0,0,0,0,0,0.676666667
10,0,0,0,0,0,0,0,2.426665321,0,0,0.980791688,0,0,0,0.054069843,0.27
11,0,0,0,0,0,0,0,1.924895465,0,0,0,0,0,0,0.957114339,0.623333333
12,0,0,0,0,0,0,0,0.971753895,0,0,0,0,0,0,0,0.91
13,0,0.300295264,0,0,0,0,0,1.858516395,0,0,0,0,0,0,0.987207711,0.458
14,0,0,0,0,0,0,0,1.571008921,0,0,0,0,0,0,0,0.205
15,0,0,0,0,0,0,0,0.36982438,0,0,0,0,0,0,0,0.1825
16,0,0,0,0,0,0,0,1.747201025,0,0,0,0,0,0,0,0.385
17,0,0,0,0,0,0,0,1.825103462,0,0,0,0,0,0,0.970900059,0.49
18,0,0,0,0,0,0,0,1.812258959,0,0,0.936773479,0,0,0,0,0.76
19,0,0,0,0,0,0,0,0.497850627,0.297569036,0,0,0,0,0,0,0.4
20,0,0,0,0,0,0,0,1.958734393,0,0,0,0,0,0,0,0.8025
21,0,0,0,0,0,0,0,1.904951274,0,0,0,0,0,0,0,0.515
22,0,0,0,0,0,0,0,0.954186559,0,0,0,0,0,0,0,0.57
23,0,0,0,0,0,0,0,1.85497874,0,0,0.975754976,0,0,0,0,0.73
24,0,0,0,0,0,0,0,2.207259387,0,0,0,0,0,0,0,0.466666667
25,0,0,0,0,0,0,0,0.9738639,0,0,0,0,0,0,0,0.75
26,0,0,0,0,0,0,0,0.979228377,0,0,0,0,0.986537814,0,0,0.885
27,0,0,0,0,0,0,0,1.869559586,0,0,0,0,0,0,0,0.025
28,0,-0.02623355,0,0,0,0,0,2.520631846,0,0,0.869720042,0,0,0,-0.035419382,0.336
29,0,0,0,0,0,0,0,0.359855175,0,0,0,0,0,0,0.80176419,0.2375
30,0,0,0,0,0,0,0,0.976706564,0.942354321,0,0,0,0,0,0.983288884,0.426666667
31,0,0,0,0,0,0,0,0,0,0,0.980848074,0,0,0,0,0.94
32,0,0,0,0,0,0,0,1.925579391,0,0,0,0,0,0,0.968294889,0.272
33,0,0,0,0,0,0,0,2.830204368,0,0,0,0,0,0,0.876749396,0.454
34,0,0,0,0,0,0,0,1.880928755,0,0,0.970969141,0,0,0,0,0.866666667
35,0,0,0,0,0,0,0,0.961756945,0,0,0,0,0,0,0.111401163,0.585
36,0,0,0,0,0,0,0,1.873460948,0,0,0,0,0,0,-0.675374031,0.013333333
37,0,0,0,0,0,0,0,0.808503836,0,0,0,0,0,0,0,0.465
38,0,0.069508016,0,0,0,0,0,0.972515404,0,0,0,0,0,0,0,0.435
39,0,0,0,0,0,0,0,0.983782709,0,0,0,0,0,0,0.822694778,0.68
40,0,0,0,0,0,0,0,-0.803612351,0,0,0,0,0,0,0.977860749,0.233333333
42,0,0,0,0,0,0,0,0.967979074,0,0,0,0,0,0,0.96001035,0.62
43,0,0,0,0,0,0,0,0.971137345,0,0,0.076291502,0,0,0,0,0.655
44,0,0,0,0,0,0,0,0.255711704,0,0,0,0,0,0,0,0.453333333
45,0,0,0,0,0,0,0,5.663598716,0,0,0,0,0,0,0,0.761666667
46,0,0,0,0,0,0,0,0.979416549,0,0,0,0,0,0,0,0.94
47,0,0.97521621,0,0,0,0,0,5.715821862,0,0,0,0,0,0,1.558520973,0.575454545
48,0,0,0,0,0,0,0,0.938031614,0.606741965,0,0,0,0,0,0.944233656,0.2
49,0,0,0,0,0,0,0,0.964036286,0,0,0,0,0,0,0.106306501,0.526666667
50,0,0,0,0,0,0,0,0,0.96260041,0,0,0,0,0,0.967785358,0.17
51,0,0,0,0,0,0,0,1.619330168,0,0,0,0,0,0,0.894409239,0.395
52,0,0,0,0,0,0,0,2.902801752,0,0,0.981937468,0,0,0,1.905614376,0.441666667
53,0,0,0,0,0,0,0,2.944484472,0,0,0,0,0.922024846,0,1.335955828,0.526666667
54,0,0,0,0,0,0,0,1.919219971,0,0,0,0,0,0,1.768415511,0.56
55,0,0,0,0,0,0,0,1.83190012,0,0,0,0,0,0.479453504,0.971934795,0.55
56,0,0,0,0,0,0,0,3.154848337,0,0,0,-0.590370536,0,0,0.910627961,0.321666667
57,0,0,0,0,0,0,0,1.637596667,0,0,0,0,0.984579802,0,1.596701324,0.318
58,0,0,0,0,0,0,0,0.944421232,0,0,0,0,0,0,1.696214199,0.46
59,0,0,0,0,0,0,0,1.837368965,0,0,0,0,0,0,0.92461592,0.81
60,0,0,0,0,0,0,0,2.857936651,0,0,0,0,0,0,-0.324041545,0.425714286
61,0,0,0,0,0,0,0,1.927758873,0,0,0,0,0,0,0.938753694,0.32
62,0,0.019839376,0,0,0.214920253,0,0,0.489674419,0,0,0,0,0,0,0.78594026,0.198333333
63,0,0,0,0,0,0,0,0.20497264,0,0,0,0,0,0,0.952602267,0.193333333
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.711419702,0.486666667
65,0,0,0,0,0,0,0,2.894370437,0,0,0,0,0,0,0,0.82
66,0,0,0,0,0,0,0,1.919751942,0,0,0.919125497,0,0,0,0,0.543333333
